match_key,date,home_team,away_team,tm_match_available,tm_home_prior_lineup_available,tm_home_prior_starter_count,tm_home_prior_lineup_value_sum_m,tm_home_prior_lineup_value_avg_m,tm_home_prior_lineup_value_top3_m,tm_home_prior_lineup_value_coverage,tm_home_prior_lineup_age,tm_home_prior_lineup_gk_share,tm_home_prior_lineup_def_share,tm_home_prior_lineup_mid_share,tm_home_prior_lineup_att_share,tm_home_prior_lineup_stability,tm_home_prior_players_minutes_per_app,tm_home_prior_players_goals_per90,tm_home_prior_players_assists_per90,tm_home_prior_players_cards_per90,tm_home_prior_players_days_since,tm_home_manager_available,tm_home_manager_changed,tm_home_manager_matches,tm_home_manager_ppg,tm_home_manager_gd_per_match,tm_away_prior_lineup_available,tm_away_prior_starter_count,tm_away_prior_lineup_value_sum_m,tm_away_prior_lineup_value_avg_m,tm_away_prior_lineup_value_top3_m,tm_away_prior_lineup_value_coverage,tm_away_prior_lineup_age,tm_away_prior_lineup_gk_share,tm_away_prior_lineup_def_share,tm_away_prior_lineup_mid_share,tm_away_prior_lineup_att_share,tm_away_prior_lineup_stability,tm_away_prior_players_minutes_per_app,tm_away_prior_players_goals_per90,tm_away_prior_players_assists_per90,tm_away_prior_players_cards_per90,tm_away_prior_players_days_since,tm_away_manager_available,tm_away_manager_changed,tm_away_manager_matches,tm_away_manager_ppg,tm_away_manager_gd_per_match,tm_diff_manager_available,tm_diff_manager_changed,tm_diff_manager_gd_per_match,tm_diff_manager_matches,tm_diff_manager_ppg,tm_diff_prior_lineup_age,tm_diff_prior_lineup_att_share,tm_diff_prior_lineup_available,tm_diff_prior_lineup_def_share,tm_diff_prior_lineup_gk_share,tm_diff_prior_lineup_mid_share,tm_diff_prior_lineup_stability,tm_diff_prior_lineup_value_avg_m,tm_diff_prior_lineup_value_coverage,tm_diff_prior_lineup_value_sum_m,tm_diff_prior_lineup_value_top3_m,tm_diff_prior_players_assists_per90,tm_diff_prior_players_cards_per90,tm_diff_prior_players_days_since,tm_diff_prior_players_goals_per90,tm_diff_prior_players_minutes_per_app,tm_diff_prior_starter_count
2012-08-10|willem ii|nac breda,2012-08-10,Willem II,NAC Breda,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-11|waalwijk|psv,2012-08-11,Waalwijk,PSV,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-11|roda jc|pec zwolle,2012-08-11,Roda JC,PEC Zwolle,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-11|heracles|vvv venlo,2012-08-11,Heracles,VVV Venlo,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-12|fc utrecht|feyenoord,2012-08-12,FC Utrecht,Feyenoord,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-12|fc twente|fc groningen,2012-08-12,FC Twente,FC Groningen,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-12|vitesse|ado den haag,2012-08-12,Vitesse,ADO Den Haag,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-12|heerenveen|nec,2012-08-12,Heerenveen,NEC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-12|ajax|az,2012-08-12,Ajax,AZ,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
2012-08-18|psv|roda jc,2012-08-18,PSV,Roda JC,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,0.0,-1.0,,1.0,,,,0.0,,,,,,,,,,,,,,0.0
