Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,02/09/2026,19:30,St Truiden,St. Gilloise,,3.7,3.4,1.91,3.4,3.5,1.95,3.5,3.5,1.93,3.6,3.5,2,3.4,3.5,1.91,3.3,3.4,1.91,3.75,3.6,2.05,3.53,3.45,1.96,3.85,3.7,2.08,1.75,2.05,1.78,2.1,1.73,2.02,1.79,2.12,0.5,1.85,1.95,1.85,2,1.78,1.93,1.9,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,03/09/2026,19:30,Anderlecht,Kortrijk,,1.48,4.2,5.5,1.5,4.2,5.5,1.5,4.2,5.5,1.53,4.5,5.5,1.44,4.4,5.5,1.44,4.2,5.25,1.53,4.5,5.75,1.49,4.33,5.49,1.54,4.6,6,1.57,2.35,1.58,2.4,1.54,2.36,1.61,2.44,-1,1.8,2,1.8,2,1.78,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,03/09/2026,19:30,Gent,Oud-Heverlee Leuven,,1.62,3.7,5,1.57,4,5,1.6,3.8,5,1.63,4.1,5,1.57,3.8,5,1.55,3.75,4.75,1.63,4.1,5.6,1.6,3.89,4.96,1.72,4.1,5.5,1.75,2.05,1.78,2.1,1.72,2.03,1.68,2.16,-1,2.08,1.73,2.08,1.8,2.03,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,Lincoln,Blackburn,W Finnie,2.2,3.4,3.1,2.25,3.5,3.1,2.25,3.4,3.1,2.25,3.3,3.1,2.25,3.3,3.1,2.25,3.4,3.1,2.25,3.5,3.15,2.25,3.39,3.09,2.38,3.5,3.3,1.93,1.93,1.93,1.93,1.87,1.87,1.99,1.98,-0.25,1.98,1.88,1.98,1.88,1.91,1.83,2.04,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,Portsmouth,Derby,S Allison,1.86,3.4,4,2.05,3.5,3.6,1.93,3.5,3.9,1.95,3.5,3.8,1.95,3.4,3.8,1.95,3.5,3.8,2.05,3.5,4,1.96,3.48,3.79,2.08,3.6,4,2,1.85,2,1.85,1.96,1.78,2.06,1.92,-0.5,1.93,1.93,1.95,1.93,1.91,1.82,2.08,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,Preston,Bristol City,R Ricardo,2.82,3.4,2.32,2.75,3.5,2.5,2.8,3.4,2.45,2.75,3.4,2.5,2.8,3.3,2.45,2.8,3.4,2.45,2.85,3.5,2.5,2.78,3.4,2.46,2.98,3.5,2.58,1.93,1.93,1.93,1.93,1.87,1.87,1.98,2,0,2.08,1.73,2.08,1.75,2.02,1.73,2.14,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,Sheffield United,Bolton,T Harrington,1.57,3.9,5.25,1.67,4,5,1.62,4,5.25,1.62,4.1,5,1.62,3.8,5,1.62,4,5,1.67,4.1,5.33,1.63,3.98,5.1,1.7,4.1,5.6,1.73,2.1,1.75,2.1,1.73,2.03,1.85,2.14,-0.75,1.8,2.05,1.8,2.05,1.77,1.98,1.88,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,Swansea,Watford,E Duckworth,1.76,3.6,4.2,1.83,3.75,4,1.83,3.6,4.2,1.85,3.6,4.1,1.83,3.6,4,1.83,3.75,4,1.85,3.75,4.2,1.83,3.65,4.08,1.93,3.85,4.4,1.93,1.93,1.93,2,1.84,1.9,1.98,1.99,-0.5,1.83,2.03,1.83,2.03,1.79,1.94,1.92,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,19:45,West Ham,Wolves,L Smith,2.01,3.6,3.4,2.05,3.75,3.3,2.05,3.7,3.3,2.05,3.6,3.3,2,3.6,3.4,2,3.7,3.4,2.08,3.75,3.4,2.04,3.65,3.33,2.14,3.8,3.6,1.67,2.2,1.67,2.25,1.65,2.17,1.74,2.32,-0.5,2.05,1.8,2.05,1.8,2,1.74,2.14,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/09/2026,20:00,Birmingham,Southampton,A Backhouse,2.5,3.3,2.57,2.5,3.5,2.75,2.5,3.5,2.7,2.5,3.4,2.7,2.45,3.5,2.7,2.45,3.5,2.63,2.55,3.5,2.78,2.5,3.44,2.69,2.66,3.6,2.84,1.8,2,1.8,2.05,1.75,2,1.82,2.18,0,1.88,1.98,1.88,2,1.81,1.93,1.93,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
