player_id,player,club_id,team,season_appearances,season_minutes,season_goals,season_assists,season_yellow_cards,season_second_yellow,season_red_cards
550829,Matej Kovar,383,PSV,6,540,0,0,0,0,0
215094,Nick Olij,383,PSV,0,0,0,0,0,0,0
720805,Tijn Smolenaars,383,PSV,0,0,0,0,0,0,0
1146761,Khadim Ngom,383,PSV,0,0,0,0,0,0,0
420210,Lutsharel Geertruida,383,PSV,2,78,1,0,1,0,0
895334,Yarek Gasiorowski,383,PSV,3,98,0,0,0,0,0
361104,Sergiño Dest,383,PSV,4,359,2,2,0,0,0
323910,Mauro Júnior,383,PSV,6,481,1,1,0,0,0
586429,Ryan Flamingo,383,PSV,6,467,1,0,1,0,0
548348,Kiliann Sildillia,383,PSV,3,101,0,0,0,0,0
339337,Armando Obispo,383,PSV,5,437,0,0,1,0,0
800976,Adamo Nagalo,383,PSV,0,0,0,0,0,0,0
161011,Filip Kostic,383,PSV,2,32,0,0,1,0,0
1135623,Fabian Merién,383,PSV,0,0,0,0,0,0,0
957242,Essien Bassey,383,PSV,1,8,0,0,0,0,0
408574,Joey Veerman,383,PSV,2,99,0,0,0,0,1
900909,Paul Wanner,383,PSV,6,272,0,1,0,0,0
347900,Jerdy Schouten,383,PSV,0,0,0,0,0,0,0
372267,Guus Til,383,PSV,6,504,2,0,0,0,0
578804,Sven Mijnans,383,PSV,5,204,1,1,0,0,0
957544,Kodai Sano,383,PSV,4,297,0,0,1,0,0
1095107,Noah Fernandez,383,PSV,5,350,1,0,1,0,0
987376,Joël van den Berg,383,PSV,0,0,0,0,0,0,0
1239626,Shuryjano Cornecion,383,PSV,0,0,0,0,0,0,0
627207,Ricardo Pepi,383,PSV,5,395,3,0,0,0,0
397486,Dennis Man,383,PSV,4,98,0,0,1,0,0
735701,Ruben van Bommel,383,PSV,6,389,2,3,3,0,0
747016,Sami Ouaissa,383,PSV,0,0,0,0,0,0,0
925862,Esmir Bajraktarevic,383,PSV,3,66,1,0,0,0,0
386914,Sam Lammers,383,PSV,0,0,0,0,0,0,0
167329,Alassane Pléa,383,PSV,1,22,0,1,0,0,0
1064184,Ayoni Santos,383,PSV,0,0,0,0,0,0,0
42460,Ivan Perisic,383,PSV,6,393,2,1,2,0,0
1189915,Mikkel Bro Hansen,383,PSV,0,0,0,0,0,0,0
1146474,Amir Bouhamdi,383,PSV,5,169,0,2,0,0,0
74857,Marc ter Stegen,610,Ajax,6,540,0,0,0,0,0
396077,Maarten Paes,610,Ajax,4,360,0,0,0,0,0
923667,Joeri Heerkens,610,Ajax,0,0,0,0,0,0,0
1015401,Paul Reverson,610,Ajax,0,0,0,0,0,0,0
559327,Youri Baas,610,Ajax,7,519,1,0,1,0,0
371001,Josip Sutalo,610,Ajax,0,0,0,0,0,0,0
228948,Thilo Kehrer,610,Ajax,1,6,0,0,0,0,0
