player_id,player,team,club_id,position,position_group,market_value_m,age,snapshot_date,roster_source,minutes_per_app,goals_per90,assists_per90,cards_per90,days_since,season_appearances,season_minutes,season_goals,season_assists,season_yellow_cards,season_second_yellow,season_red_cards,selected_proxy
724025,Matej Sin,ADO Den Haag,1268,Aanvallend middenveld,mid,3.0,22.0,2026-09-09,Transfermarkt live,42.5,0.2117647058823529,0.0,0.0,132.0,0,0,0,0,0,0,0,1
930998,Yannick Eduardo,ADO Den Haag,1268,Centrumspits,att,2.5,20.0,2026-09-09,Transfermarkt live,69.4,0.14434643143544507,0.0,0.0,,5,347,2,0,0,0,0,1
997478,Othniël Raterink,ADO Den Haag,1268,Rechtervleugelverdediger,def,1.0,20.0,2026-09-09,Transfermarkt live,78.75,0.0,0.0,0.0,,4,315,0,0,0,0,0,1
538642,Juho Kilo,ADO Den Haag,1268,Centraal middenveld,mid,0.75,24.0,2026-09-09,Transfermarkt live,90.0,0.0,0.06666666666666667,0.13333333333333333,,5,450,0,1,2,0,0,1
559319,Kilian Nikièma,ADO Den Haag,1268,Keeper,gk,0.7,23.0,2026-09-09,Transfermarkt live,90.0,0.0,0.0,0.0,,5,450,0,0,0,0,0,1
548937,Evan Rottier,ADO Den Haag,1268,Aanvallend middenveld,mid,0.6,24.0,2026-09-09,Transfermarkt live,71.0,0.07171314741035857,0.14342629482071714,0.14342629482071714,,5,355,1,2,2,0,0,1
460619,Pascal Mulder,ADO Den Haag,1268,Centrale verdediger,def,0.5,27.0,2026-09-09,Transfermarkt live,86.6,0.0,0.0,0.06751687921980495,,5,433,0,0,1,0,0,1
595240,Milan Hokke,ADO Den Haag,1268,Centrale verdediger,def,0.4,22.0,2026-09-09,Transfermarkt live,90.0,0.0,0.06666666666666667,0.0,,5,450,0,1,0,0,0,1
587333,Sekou Sylla,ADO Den Haag,1268,Linkervleugelverdediger,def,0.4,27.0,2026-09-09,Transfermarkt live,74.2,0.07081038552321008,0.0,0.0,,5,371,1,0,0,0,0,1
412952,Nigel Thomas,ADO Den Haag,1268,Linksbuiten,att,0.3,25.0,2026-09-09,Transfermarkt live,57.75,0.07957559681697612,0.07957559681697612,0.0,,4,231,1,1,0,0,0,1
177821,Daryl van Mieghem,ADO Den Haag,1268,Rechtsbuiten,att,0.15,36.0,2026-09-09,Transfermarkt live,64.4,0.0,0.0,0.0,,5,322,0,0,0,0,0,1
719382,Matteo Waem,ADO Den Haag,1268,Centrale verdediger,def,0.8,26.0,2026-09-09,Transfermarkt live,42.25,0.0,0.0,0.0,,4,169,0,0,0,0,0,0
629039,Luka Reischl,ADO Den Haag,1268,Centrumspits,att,0.8,22.0,2026-09-09,Transfermarkt live,28.5,0.0,0.0,0.0,,2,57,0,0,0,0,0,0
633057,Donát Bárány,ADO Den Haag,1268,Centrumspits,att,0.8,26.0,2026-09-09,Transfermarkt live,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0
658530,Jonas Jensen-Abbew,ADO Den Haag,1268,Centrale verdediger,def,0.75,24.0,2026-09-09,Transfermarkt live,45.0,0.0,0.0,0.0,,1,45,0,0,0,0,0,0
703626,Cameron Peupion,ADO Den Haag,1268,Linksbuiten,att,0.45,23.0,2026-09-09,Transfermarkt live,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0
692020,Lasse Wilhelm,ADO Den Haag,1268,Centrale verdediger,def,0.4,23.0,2026-09-09,Transfermarkt live,8.5,0.0,0.0,0.0,,2,17,0,0,0,0,0,0
487924,Jan Zamburek,ADO Den Haag,1268,Centraal middenveld,mid,0.4,25.0,2026-09-09,Transfermarkt live,42.666666666666664,0.0,0.0,0.12428040113417371,108.0,3,128,0,0,0,0,0,0
848089,Illaijh de Ruijter,ADO Den Haag,1268,Linksbuiten,att,0.4,19.0,2026-09-09,Transfermarkt live,39.6,0.0,0.0,0.0,,5,198,0,0,0,0,0,0
433091,Jalen Hawkins,ADO Den Haag,1268,Rechtsbuiten,att,0.4,25.0,2026-09-09,Transfermarkt live,37.25,0.0,0.0,0.0,,4,149,0,0,0,0,0,0
953857,Jesse Bal,ADO Den Haag,1268,Centrumspits,att,0.4,19.0,2026-09-09,Transfermarkt live,35.6,0.08348794063079777,0.0,0.0,,5,178,1,0,0,0,0,0
348778,Niclas Thiede,ADO Den Haag,1268,Keeper,gk,0.35,27.0,2026-09-09,Transfermarkt live,,0.0,0.0,0.0,,0,0,0,0,0,0,0,0
617754,Mylian Jiménez,ADO Den Haag,1268,Centraal middenveld,mid,0.3,23.0,2026-09-09,Transfermarkt live,51.333333333333336,0.0,0.0,0.08538899430740038,,3,154,0,0,1,0,0,0
