champion_rank,projected_rank,team,expected_points,expected_gd,expected_rank,champion_prob,top2_prob,top3_prob,top5_prob,bottom3_prob,relegation_prob
1,1,PSV,84.5527,45.1285,1.2262,0.8265,0.9568,0.9911,1.0,0.0,0.0
2,2,Feyenoord,74.139,29.5413,2.8034999999999997,0.09,0.4618,0.7516,0.9856,0.0,0.0
3,3,AZ,72.967,29.9052,3.0226999999999995,0.0611,0.3724,0.6864,0.9794999999999999,0.0,0.0
4,4,Ajax,67.9296,21.5825,4.0611,0.014,0.1264,0.3251,0.891,0.0,0.0
5,5,FC Twente,66.0341,21.5065,4.423,0.0082,0.0795,0.2288,0.8421000000000001,0.0,0.0
6,6,NEC,55.7948,10.0384,6.686400000000001,0.0002,0.0025,0.014,0.1927,0.0,0.0
7,7,FC Groningen,48.7795,0.1236,8.7252,0.0,0.0003,0.0007,0.0324,0.0012000000000000001,0.0002
8,8,Heerenveen,48.5714,-0.1081,8.8011,0.0,0.0,0.0008,0.029,0.0015,0.0002
9,9,Go Ahead Eagles,48.2735,1.269,8.879199999999999,0.0,0.0003,0.0014,0.031200000000000002,0.0024000000000000002,0.0005
10,10,Excelsior,45.282,2.3149,9.7583,0.0,0.0,0.0001,0.0079,0.0031999999999999997,0.0006
11,11,FC Utrecht,43.2337,-9.6544,10.6059,0.0,0.0,0.0,0.0065,0.0141,0.0029
12,12,Fortuna Sittard,40.4365,-9.4477,11.536600000000002,0.0,0.0,0.0,0.0018,0.0294,0.0073
13,13,Sparta Rotterdam,37.3107,-9.951,12.515800000000002,0.0,0.0,0.0,0.00030000000000000003,0.0621,0.0166
14,14,Telstar,33.1953,-20.0242,13.9034,0.0,0.0,0.0,0.0,0.1961,0.0716
15,15,PEC Zwolle,31.7861,-18.99,14.287899999999999,0.0,0.0,0.0,0.0,0.2586,0.1008
16,16,ADO Den Haag,25.6021,-24.9682,15.912600000000001,0.0,0.0,0.0,0.0,0.6748000000000001,0.38060000000000005
17,17,Willem II,22.9644,-31.2475,16.540799999999997,0.0,0.0,0.0,0.0,0.8138000000000001,0.5928
18,18,SC Cambuur,19.1308,-37.0188,17.310299999999998,0.0,0.0,0.0,0.0,0.9428,0.8259
