rank,team,played,wins,draws,losses,gf,ga,points,gd
1,AZ,7,6,1,0,18,6,19,12
2,Feyenoord,7,5,2,0,25,7,17,18
3,PSV,7,5,1,1,24,10,16,14
4,FC Twente,7,5,1,1,15,7,16,8
5,Ajax,7,4,2,1,21,9,14,12
6,Fortuna Sittard,7,4,1,2,13,14,13,-1
7,Excelsior,7,3,2,2,15,9,11,6
8,FC Groningen,7,3,2,2,15,13,11,2
9,Go Ahead Eagles,7,2,4,1,16,14,10,2
10,Heerenveen,7,2,3,2,11,9,9,2
11,NEC,7,2,2,3,12,13,8,-1
12,Sparta Rotterdam,7,1,2,4,10,17,5,-7
13,Telstar,7,1,2,4,5,12,5,-7
14,SC Cambuur,7,1,2,4,10,19,5,-9
15,FC Utrecht,7,1,2,4,11,24,5,-13
16,PEC Zwolle,7,1,1,5,6,20,4,-14
17,ADO Den Haag,7,0,2,5,7,17,2,-10
18,Willem II,7,0,2,5,6,20,2,-14
