projected_rank,team,expected_points,expected_gd,expected_rank,champion_prob,top2_prob,top3_prob,top5_prob,bottom3_prob,relegation_prob
1,PSV,85.3831,45.2537,1.1654,0.871,0.9707,0.9938,1.0,0.0,0.0
2,Feyenoord,74.1783,34.3899,2.7619,0.0735,0.5015,0.7555999999999999,0.9931,0.0,0.0
3,Ajax,70.1949,26.8117,3.5566,0.0239,0.2242,0.4778,0.9762,0.0,0.0
4,AZ,68.9802,24.3486,3.7962,0.0152,0.1581,0.4002,0.9692,0.0,0.0
5,FC Twente,68.6342,23.3286,3.8697,0.0164,0.14529999999999998,0.3696,0.96,0.0,0.0
6,Heerenveen,48.3245,0.4866,8.2798,0.0,0.0,0.0015,0.0242,0.0013,0.0004
7,Go Ahead Eagles,47.5582,1.3305,8.5158,0.0,0.0,0.0004,0.020700000000000003,0.0024,0.0003
8,FC Groningen,47.5593,-0.4649,8.5313,0.0,0.0001,0.0007,0.024,0.0031999999999999997,0.0006
9,NEC,47.1306,-0.0515,8.6484,0.0,0.0001,0.00030000000000000003,0.0193,0.002,0.0003
10,FC Utrecht,44.6302,-7.2723,9.6117,0.0,0.0,0.0001,0.0084,0.008799999999999999,0.002
11,Excelsior,42.2748,-0.1116,10.261199999999999,0.0,0.0,0.0,0.0042,0.0138,0.004
12,Fortuna Sittard,38.4086,-12.8519,11.868200000000002,0.0,0.0,0.0,0.0005,0.06160000000000001,0.0208
13,Sparta Rotterdam,36.5074,-11.1477,12.510900000000001,0.0,0.0,0.0,0.0002,0.09630000000000001,0.0398
14,Telstar,32.2299,-19.1009,14.1118,0.0,0.0,0.0,0.0,0.2651,0.1297
15,PEC Zwolle,30.1004,-25.1028,14.8943,0.0,0.0,0.0,0.0,0.4175,0.2321
16,Willem II,27.8074,-25.4488,15.557599999999999,0.0,0.0,0.0,0.0,0.5684,0.3605
17,ADO Den Haag,24.1444,-25.7424,16.4942,0.0,0.0,0.0,0.0,0.7685,0.6024
18,SC Cambuur,24.3034,-28.6548,16.565,0.0,0.0,0.0,0.0,0.7911,0.6071
